User1_ID,User2_ID,h1_linear,h2_linear,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Throughput_Mbps,Method
1867,947,4.558850294295314e-06,3.3704591591944474e-05,0.8808562411126231,0.11914375888737697,3.0668874604495544,11.971792028879857,15.038679489329411,0.28241651623153824,GNN
1073,928,4.155503181646441e-06,2.7593301802844954e-05,0.8691130836679897,0.13088691633201044,2.93130427948379,11.818822680256554,14.750126959740344,0.2769976893847952,GNN
825,588,6.23302255896749e-06,3.954462534701114e-05,0.8638413539339261,0.13615864606607384,2.875172012303091,12.39482242489899,15.269994437202081,0.28676045891459306,GNN
758,687,1.4338137098165556e-05,0.000202263448573,0.9338040991078752,0.0661959008921248,3.9156956984307985,13.708869546497914,17.62456524492871,0.33097775107847344,GNN
865,1982,2.766212569801522e-06,1.8293814347346534e-05,0.868651043007493,0.13134895699250712,2.925079595055635,11.23114522354144,14.156224818597074,0.2658445975323394,GNN
746,1198,3.136980529629666e-06,3.2433247738881126e-05,0.9118088164644494,0.08819118353555061,3.498476182311167,11.482468416652472,14.980944598963639,0.2813322929382843,GNN
1135,921,7.053101820344226e-06,4.459575776144521e-05,0.8634412864590908,0.1365587135409092,2.8711141595597445,12.572449014000798,15.443563173560541,0.29001996570066746,GNN
553,565,1.2831637232509962e-05,8.414744772565402e-05,0.8676865507851984,0.13231344921480162,2.9172313144481516,13.442793084356003,16.360024398804153,0.30723050514186206,GNN
822,1364,1.6820665132561047e-05,0.0001291468666924,0.884764338190415,0.115235661809585,3.116682504967397,13.861409212849045,16.978091717816444,0.3188374031514825,GNN
677,708,4.084833002047488e-06,2.717527909598036e-05,0.8693276278332605,0.1306723721667394,2.9336268009442668,11.794439498315667,14.728066299259932,0.27658340468093773,GNN
1191,1081,7.867883512304493e-06,7.70598600775427e-05,0.9073579117996834,0.09264208820031657,3.430393842134696,12.801705601630168,16.232099443764863,0.3048281585683542,GNN
1775,473,1.058389736082984e-05,6.7453436051624e-05,0.8643739233772848,0.13562607662271522,2.881425113289238,13.159468499760639,16.040893613049878,0.30123743874272074,GNN
1195,1847,7.1825731021435565e-06,0.0001275568615522,0.9466928659707566,0.05330713402924326,4.225965343362954,12.731465566416475,16.95743090977943,0.3184494067564212,GNN
757,1463,8.268068441388874e-07,2.113124761910159e-05,0.9623460791791446,0.0376539208208554,4.687188167482846,9.637846270114125,14.32503443759697,0.2690147312224783,GNN
1404,1054,4.301396491041964e-06,2.8700914840856515e-05,0.8696637805824091,0.1303362194175908,2.937454340061041,11.869504677993005,14.806959018054046,0.278064958085522,GNN
1547,1350,1.5389611686573834e-05,0.0002633377191646,0.9447861404922968,0.05521385950770325,4.177222631305815,13.827828135592819,18.005050766898634,0.33812301909668796,GNN
1707,445,8.968321481998487e-06,5.6890654729687e-05,0.8638253735804775,0.13617462641952244,2.8754502066973138,12.919620091180121,15.795070297877436,0.2966210384577922,GNN
188,427,1.4466534829859069e-05,0.0002822816612047,0.9512497968878155,0.0487502031121844,4.356503471291322,13.748432753032663,18.104936224323986,0.33999880233472274,GNN
1308,183,4.39308182629893e-06,3.635280947763905e-05,0.8921834402018751,0.10781655979812499,3.210634958959783,11.936797972436988,15.147432931396771,0.28445883439242764,GNN
1568,1580,1.874293565076815e-07,3.626990239630494e-05,0.9948589392723942,0.005141060727605817,6.584389369917914,7.550483389117872,14.134872759035787,0.265443619887996,GNN
495,1481,1.3086581177217382e-06,2.0501895142462608e-05,0.9399988573370707,0.060001142662929274,4.041710859163223,10.265775755991163,14.307486615154385,0.2686851946507866,GNN
104,28,1.6915796407963005e-05,0.0001833984691196,0.9155537107483969,0.08444628925160305,3.5648978442721817,13.918893060697187,17.483790904969368,0.32833410150177217,GNN
149,1082,7.753728352532068e-06,4.948507598761638e-05,0.8645372061503136,0.13546279384968649,2.8828445967301497,12.71088963743381,15.59373423416396,0.29284007951481617,GNN
777,1981,1.492277591780338e-05,0.0001054228240979,0.8760006521563216,0.1239993478436783,3.0109127861664855,13.674342515595207,16.685255301761693,0.31333812773261394,GNN
